x,y
7.996689747,8
4.897423729,3
-0.125282211,-8
-9.324003541,-2
-7.525989164,3
5.653600988,6
-6.074983348,3
5.845858722,37
3.079511013,11
-5.68495415,-3
-3.610137188,-1
-5.700485979,1
11.00646338,9
6.455884212,4
8.144646725,7
-2.444039947,-1
2.226166363,1
