x,y
7.996689747,9
4.897423729,2
-0.125282211,-7
-9.324003541,-1
-7.525989164,3
5.653600988,3
-6.074983348,3
5.845858722,37
3.079511013,9
-5.68495415,-3
-3.610137188,-1
-5.700485979,0
11.00646338,9
6.455884212,2
8.144646725,6
-2.444039947,-1
2.226166363,1
